POTID,ATTID,VALUE
CCNPOT0069,CCNATT0009,Xanh lá / Vàng / Cam
CCNPOT0069,CCNATT0020,Hoa thổ cẩm
CCNPOT0069,CCNATT0021,18×16 cm (DxC)
CCNPOT0070,CCNATT0013,Đất nung sơn màu
CCNPOT0070,CCNATT0009,Màu đen bóng
CCNPOT0070,CCNATT0020,Trơn
CCNPOT0070,CCNATT0021,20×20 cm (DxC)
CCNPOT0071,CCNATT0013,Đất nung sơn màu
CCNPOT0071,CCNATT0009,Màu mộc
CCNPOT0071,CCNATT0020,Marble
CCNPOT0071,CCNATT0021,20×18 cm (DxC)
CCNPOT0072,CCNATT0013,Gốm sứ
CCNPOT0072,CCNATT0009,Trắng
CCNPOT0072,CCNATT0020,Giả đá
CCNPOT0072,CCNATT0021,26×20 / 18×16 / 12x10cm (DxC)
CCNPOT0073,CCNATT0013,Đất nung sơn màu
CCNPOT0073,CCNATT0009,Màu trắng
CCNPOT0073,CCNATT0020,Trơn
CCNPOT0073,CCNATT0021,17×17 cm (DxC)
CCNPOT0074,CCNATT0013,Đất nung sơn màu
CCNPOT0074,CCNATT0009,Màu trắng
CCNPOT0074,CCNATT0020,Gân chéo
CCNPOT0074,CCNATT0021,17×17 cm (DxC)
CCNPOT0075,CCNATT0013,Đất nung sơn màu
CCNPOT0075,CCNATT0009,Màu trắng
CCNPOT0075,CCNATT0020,Gân chéo
CCNPOT0075,CCNATT0021,17×17 cm (DxC)
CCNPOT0076,CCNATT0013,Gốm sứ
CCNPOT0076,CCNATT0009,Trắng
CCNPOT0076,CCNATT0020,Giả đá
CCNPOT0076,CCNATT0021,26×20 / 18×16 / 12x10cm (DxC)
CCNPOT0077,CCNATT0013,Gốm sứ
CCNPOT0077,CCNATT0009,Trắng
CCNPOT0077,CCNATT0020,Trơn
CCNPOT0077,CCNATT0021,15×15 / 18×18 cm (DxC)
CCNPOT0078,CCNATT0013,Gốm sứ
CCNPOT0078,CCNATT0009,Trắng / Xanh dương
CCNPOT0078,CCNATT0020,Mặt người
CCNPOT0078,CCNATT0021,15×15 cm (DxC)
CCNPOT0079,CCNATT0013,Đất nung sơn màu
CCNPOT0079,CCNATT0009,Màu mộc
CCNPOT0079,CCNATT0020,Gân sọc dọc
CCNPOT0079,CCNATT0021,18×18 cm (DxC)
CCNPOT0080,CCNATT0013,Đất nung sơn màu
CCNPOT0080,CCNATT0009,Màu kem
CCNPOT0080,CCNATT0020,Gân sọc dọc
CCNPOT0080,CCNATT0021,18×18 cm (DxC)
CCNPOT0081,CCNATT0013,Đất nung sơn màu
CCNPOT0081,CCNATT0009,"Màu xám, trắng"
CCNPOT0081,CCNATT0020,Gân sọc ngang
CCNPOT0081,CCNATT0021,"12,5×9 cm (DxC)"
CCNPOT0082,CCNATT0013,Gốm sứ
CCNPOT0082,CCNATT0009,Trắng
CCNPOT0082,CCNATT0020,Trơn
CCNPOT0082,CCNATT0021,33×45 cm (DxC)
CCNPOT0083,CCNATT0013,Gốm sứ
CCNPOT0083,CCNATT0009,Trắng
CCNPOT0083,CCNATT0020,Hình cute
CCNPOT0083,CCNATT0021,10×11 cm (DxC)
CCNPOT0084,CCNATT0013,Gốm sứ
CCNPOT0084,CCNATT0009,Trắng
CCNPOT0084,CCNATT0020,Hình bông hoa
CCNPOT0084,CCNATT0021,12×9 cm (DxC)
CCNPOT0085,CCNATT0013,Gốm sứ
CCNPOT0085,CCNATT0009,Trắng
CCNPOT0085,CCNATT0020,Hình cô giá cute
CCNPOT0085,CCNATT0021,12×9 cm (DxC)
CCNPOT0086,CCNATT0013,Gốm sứ
CCNPOT0086,CCNATT0009,Trắng
CCNPOT0086,CCNATT0020,Hình mèo chiêu tài
CCNPOT0086,CCNATT0021,12×9 cm (DxC)
CCNPOT0087,CCNATT0013,Gốm sứ
CCNPOT0087,CCNATT0009,Trắng
CCNPOT0087,CCNATT0020,Câu nói tiếng anh
CCNPOT0087,CCNATT0021,12×9 cm (DxC)
CCNPOT0088,CCNATT0013,Gốm sứ
CCNPOT0088,CCNATT0009,Trắng
CCNPOT0088,CCNATT0020,Câu nói ý nghĩa
CCNPOT0088,CCNATT0021,12×9 cm (DxC)
CCNPOT0089,CCNATT0013,Gốm sứ
CCNPOT0089,CCNATT0009,Trắng
CCNPOT0089,CCNATT0020,Hình mèo chiêu tài
CCNPOT0089,CCNATT0021,12×9 cm (DxC)
CCNPOT0090,CCNATT0013,Gốm sứ
CCNPOT0090,CCNATT0009,Trắng
CCNPOT0090,CCNATT0020,Hình thú cưng
CCNPOT0090,CCNATT0021,12×9 cm (DxC)
CCNPOT0091,CCNATT0013,Gốm sứ
CCNPOT0091,CCNATT0009,Trắng
CCNPOT0091,CCNATT0020,Hình thú cưng
CCNPOT0091,CCNATT0021,12×9 cm (DxC)
CCNPOT0092,CCNATT0013,Gốm sứ
CCNPOT0092,CCNATT0009,Trắng
CCNPOT0092,CCNATT0020,Hình chiếc lá
CCNPOT0092,CCNATT0021,12×9 cm (DxC)
CCNPOT0093,CCNATT0013,Gốm sứ
CCNPOT0093,CCNATT0009,Trắng
CCNPOT0093,CCNATT0020,Hình mèo thần tài
CCNPOT0093,CCNATT0021,14×14 cm (DxC)
CCNPOT0094,CCNATT0013,Gốm sứ
CCNPOT0094,CCNATT0009,Trắng
CCNPOT0094,CCNATT0020,Hình chiếc lá
CCNPOT0094,CCNATT0021,18×16 / 14×13 / 10×10 cm (DxC)
CCNPOT0095,CCNATT0013,Đất nung sơn
CCNPOT0095,CCNATT0009,Màu mộc
CCNPOT0095,CCNATT0020,Sơn ngôi nhà
CCNPOT0095,CCNATT0021,16×16 cm (DxC)
CCNPOT0096,CCNATT0013,Đất nung sơn
CCNPOT0096,CCNATT0009,Màu mộc
CCNPOT0096,CCNATT0020,Vân lá
CCNPOT0096,CCNATT0021,12×11 cm (DxC)
CCNPOT0097,CCNATT0013,Đất nung mộc
CCNPOT0097,CCNATT0009,Màu mộc
CCNPOT0097,CCNATT0020,Trơn
CCNPOT0097,CCNATT0021,15×15 cm (DxC)
CCNPOT0098,CCNATT0013,Đất nung sơn
CCNPOT0098,CCNATT0009,Trắng kem
CCNPOT0098,CCNATT0020,Trơn
CCNPOT0098,CCNATT0021,15×13 cm (DxC)
CCNPOT0099,CCNATT0013,Đất nung sơn
CCNPOT0099,CCNATT0009,"Trắng, đen"
CCNPOT0099,CCNATT0020,Gân sóng ngang
CCNPOT0099,CCNATT0021,15×14 cm (DxC)
CCNPOT0100,CCNATT0013,Gốm tráng men
CCNPOT0100,CCNATT0009,Trắng
CCNPOT0100,CCNATT0020,"Sọc dọc, vân đá"
CCNPOT0100,CCNATT0021,18×16 / 14×13 / 10×10 cm (DxC)
CCNPOT0101,CCNATT0013,Đất nung sơn
CCNPOT0101,CCNATT0009,"Trắng, vàng đồng / Đen, vàng đồng"
CCNPOT0101,CCNATT0020,Viền vàng đồng
CCNPOT0101,CCNATT0021,14×13 cm (DxC)
CCNPOT0102,CCNATT0013,Đất nung sơn
CCNPOT0102,CCNATT0009,"Trắng, đen"
CCNPOT0102,CCNATT0020,Sọc dọc
CCNPOT0102,CCNATT0021,14×13 cm (DxC)
CCNPOT0103,CCNATT0013,Đất nung sơn
CCNPOT0103,CCNATT0009,"Trắng, đen"
CCNPOT0103,CCNATT0020,"Thổ cẩm, giả đá"
CCNPOT0103,CCNATT0021,15×13 cm (DxC)
CCNPOT0104,CCNATT0013,Đất nung sơn
CCNPOT0104,CCNATT0009,Xám bóng
CCNPOT0104,CCNATT0020,Trơn
CCNPOT0104,CCNATT0021,14×14 cm (DxC)
CCNPOT0105,CCNATT0013,Đất nung sơn
CCNPOT0105,CCNATT0009,Wax nâu
CCNPOT0105,CCNATT0020,Giả đá mài
CCNPOT0105,CCNATT0021,14×15 cm (DxC)
CCNPOT0106,CCNATT0013,Đất nung sơn
CCNPOT0106,CCNATT0009,Wax xám
CCNPOT0106,CCNATT0020,Gân sóng
CCNPOT0106,CCNATT0021,14×13 cm (DxC)
CCNPOT0107,CCNATT0013,Đất nung sơn
CCNPOT0107,CCNATT0009,Nâu viền vàng
CCNPOT0107,CCNATT0020,Thổ cẩm
CCNPOT0107,CCNATT0021,14×13 / 19×18 cm (DxC)
CCNPOT0108,CCNATT0013,Đất núng sơn
CCNPOT0108,CCNATT0009,Xám khói
CCNPOT0108,CCNATT0020,Xám khói
CCNPOT0108,CCNATT0021,14×13 cm (DxC)
CCNPOT0109,CCNATT0013,Gốm tráng men
CCNPOT0109,CCNATT0009,"Xám khói, đồng"
CCNPOT0109,CCNATT0020,Vân khói
CCNPOT0109,CCNATT0021,12×11 cm (DxC)
CCNPOT0110,CCNATT0013,"Đất nung, sơn chống thấm"
CCNPOT0110,CCNATT0009,"Trắng, xám"
CCNPOT0110,CCNATT0020,"Sọc dọc, vân đá"
CCNPOT0110,CCNATT0021,14×13 cm (DxC)
CCNPOT0111,CCNATT0013,Đất nung tráng men
CCNPOT0111,CCNATT0009,Đen
CCNPOT0111,CCNATT0020,Trơn
CCNPOT0111,CCNATT0021,16x14cm (DxC)
CCNPOT0112,CCNATT0013,Gốm sứ
CCNPOT0112,CCNATT0009,Trắng
CCNPOT0112,CCNATT0020,Gân sọc
CCNPOT0112,CCNATT0021,16x14cm (DxC)
CCNPOT0113,CCNATT0013,Gốm sứ
CCNPOT0113,CCNATT0009,Trắng
CCNPOT0113,CCNATT0020,Gân tổ ong
CCNPOT0113,CCNATT0021,16x14cm (DxC)
