CATEGORYID,PLANTID,CATEGORY
CCNCAT0006,CCNPLT0027,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0027,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0027,Cây Phong Thủy
CCNCAT0004,CCNPLT0027,Cây Trong Nhà
CCNCAT0007,CCNPLT0027,Cây Trong Phòng Khách
CCNCAT0000,CCNPLT0028,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0028,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0028,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0028,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0028,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0028,Cây Phong Thủy
CCNCAT0004,CCNPLT0028,Cây Trong Nhà
CCNCAT0000,CCNPLT0029,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0029,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0029,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0029,Cây Dễ Trồng Trong Nhà
CCNCAT0012,CCNPLT0029,Cây Kiểng lá
CCNCAT0013,CCNPLT0029,Cây Nhiệt Đới
CCNCAT0003,CCNPLT0029,Cây Phong Thủy
CCNCAT0004,CCNPLT0029,Cây Trong Nhà
CCNCAT0000,CCNPLT0030,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0030,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0030,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0030,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0030,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0030,Cây Phong Thủy
CCNCAT0004,CCNPLT0030,Cây Trong Nhà
CCNCAT0007,CCNPLT0030,Cây Trong Phòng Khách
CCNCAT0000,CCNPLT0031,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0031,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0031,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0031,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0031,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0031,Cây Phong Thủy
CCNCAT0004,CCNPLT0031,Cây Trong Nhà
CCNCAT0000,CCNPLT0032,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0032,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0032,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0032,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0032,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0032,Cây Phong Thủy
CCNCAT0004,CCNPLT0032,Cây Trong Nhà
CCNCAT0007,CCNPLT0032,Cây Trong Phòng Khách
CCNCAT0001,CCNPLT0033,Cây Cảnh Văn Phòng
CCNCAT0005,CCNPLT0033,Cây Cần Ít Ánh Sáng
CCNCAT0006,CCNPLT0033,Cây Dễ Trồng Trong Nhà
CCNCAT0012,CCNPLT0033,Cây Kiểng lá
CCNCAT0002,CCNPLT0033,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0033,Cây Phong Thủy
CCNCAT0004,CCNPLT0033,Cây Trong Nhà
CCNCAT0007,CCNPLT0033,Cây Trong Phòng Khách
CCNCAT0000,CCNPLT0034,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0034,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0034,Cây Cảnh Văn Phòng
CCNCAT0011,CCNPLT0034,Cây Cao & Lớn Trong Nhà
CCNCAT0006,CCNPLT0034,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0034,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0034,Cây Phong Thủy
CCNCAT0004,CCNPLT0034,Cây Trong Nhà
CCNCAT0007,CCNPLT0034,Cây Trong Phòng Khách
CCNCAT0010,CCNPLT0034,Cây Trước Cửa & Hành Lang
CCNCAT0001,CCNPLT0035,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0035,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0035,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0035,Cây Phong Thủy
CCNCAT0004,CCNPLT0035,Cây Trong Nhà
CCNCAT0007,CCNPLT0035,Cây Trong Phòng Khách
CCNCAT0010,CCNPLT0035,Cây Trước Cửa & Hành Lang
CCNCAT0000,CCNPLT0036,Cây Cảnh Để Bàn
CCNCAT0001,CCNPLT0036,Cây Cảnh Văn Phòng
CCNCAT0002,CCNPLT0036,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0036,Cây Phong Thủy
CCNCAT0004,CCNPLT0036,Cây Trong Nhà
CCNCAT0001,CCNPLT0037,Cây Cảnh Văn Phòng
CCNCAT0005,CCNPLT0037,Cây Cần Ít Ánh Sáng
CCNCAT0006,CCNPLT0037,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0037,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0037,Cây Phong Thủy
CCNCAT0009,CCNPLT0037,Cây Trang Trí Nhà Cửa
CCNCAT0004,CCNPLT0037,Cây Trong Nhà
CCNCAT0007,CCNPLT0037,Cây Trong Phòng Khách
CCNCAT0000,CCNPLT0038,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0038,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0038,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0038,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0038,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0038,Cây Phong Thủy
CCNCAT0004,CCNPLT0038,Cây Trong Nhà
CCNCAT0000,CCNPLT0039,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0039,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0039,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0039,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0039,Cây Lọc Không Khí
CCNCAT0015,CCNPLT0039,Cây Treo Trong Nhà
CCNCAT0004,CCNPLT0039,Cây Trong Nhà
