PLANTID,ATTID,VALUE
CCNPLT0137,CCNATT0005,Tưới ít nước 2 lần/tuần
CCNPLT0138,CCNATT0000,Monstera adansonii
CCNPLT0138,CCNATT0001,Cây trầu bà lỗ
CCNPLT0138,CCNATT0003,Vừa phải
CCNPLT0138,CCNATT0004,Nắng tán xạ / Bóng râm
CCNPLT0138,CCNATT0005,Tưới nước 4 – 5 lần/tuần
CCNPLT0138,CCNATT0006,"• Kích thước chậu: 20x20cm (DxC)
• Chiều cao tổng: 30 – 40 cm"
CCNPLT0139,CCNATT0000,Aglaonema red ‘Sumatra’
CCNPLT0139,CCNATT0001,Cây bao thanh thiên
CCNPLT0139,CCNATT0002,"• Kích thước chậu:
• Chiều cao tổng: 30 – 40 cm"
CCNPLT0139,CCNATT0003,Rất dễ chăm sóc
CCNPLT0139,CCNATT0004,Nắng tán xạ / Bóng râm
CCNPLT0139,CCNATT0005,Tưới nước 3 – 4 lần/tuần
CCNPLT0140,CCNATT0001,Cây cọ Nhật/ Thịnh vượng / Cung điện / Trầu bà
CCNPLT0140,CCNATT0002,"• Kích thước chậu: 40×52 cm (DxC)
• Chiều cao tổng: 140 – 150 cm"
CCNPLT0140,CCNATT0003,Dễ chăm sóc
CCNPLT0140,CCNATT0004,Nắng tán xạ / Sáng vừa phải
CCNPLT0140,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0140,CCNATT0008,Đá mài
CCNPLT0140,CCNATT0009,Màu đen
CCNPLT0141,CCNATT0000,Radermachera Sinica
CCNPLT0141,CCNATT0001,Cây hạnh phúc
CCNPLT0141,CCNATT0002,"• Kích thước chậu: 28x34cm (DxC)
• Chiều cao tổng: 100 – 120cm"
CCNPLT0141,CCNATT0003,Dễ chăm sóc
CCNPLT0141,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0141,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0142,CCNATT0001,Cây đại lộc / vạn lộc / ngọc ngân / đô la
CCNPLT0142,CCNATT0002,"• Kích thước chậu: 40×52 cm (DxC)
• Chiều cao tổng: 220 – 240 cm"
CCNPLT0142,CCNATT0003,Dễ chăm sóc
CCNPLT0142,CCNATT0004,Nắng tán nhiều / Nhiều sáng
CCNPLT0142,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0142,CCNATT0008,Gốm sứ
CCNPLT0142,CCNATT0009,Màu nâu sáng
CCNPLT0143,CCNATT0000,Radermachera Sinica
CCNPLT0143,CCNATT0001,Cây hạnh phúc
CCNPLT0143,CCNATT0002,"• Kích thước chậu: 30x30cm (DxC)
• Chiều cao tổng: 150 – 160cm"
CCNPLT0143,CCNATT0003,Dễ chăm sóc
CCNPLT0143,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0143,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0144,CCNATT0000,Thaumatophyllum bipinnatifidum
CCNPLT0144,CCNATT0001,Cây trầu bà thanh xuân / Cây trầu bà tay Phật
CCNPLT0144,CCNATT0002,"• Kích thước chậu: 30x60cm (ĐxC)
• Chiều cao 140 – 150cm
• Kích thước tán 90 – 100cm"
CCNPLT0144,CCNATT0003,Dễ chăm sóc
CCNPLT0144,CCNATT0004,Nắng tán xạ / Bóng râm
CCNPLT0144,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0145,CCNATT0000,Aglaonema Snow White
CCNPLT0145,CCNATT0001,Cây ngọc ngân
CCNPLT0145,CCNATT0002,"• Kích thước chậu: 20x20cm (DxC)
• Chiều cao: 20 – 30cm"
CCNPLT0145,CCNATT0003,Dễ chăm sóc
CCNPLT0145,CCNATT0004,Ánh sáng tán xạ; Tránh ánh nắng trực tiếp
CCNPLT0145,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0146,CCNATT0001,Cây hạnh phúc / vạn lộc / trúc Nhật / tróc bạc
CCNPLT0146,CCNATT0002,"• Kích thước chậu: 32×52 cm (DxC)
• Chiều cao tổng: 110 – 120 cm"
CCNPLT0146,CCNATT0003,Dễ chăm sóc
CCNPLT0146,CCNATT0004,Nắng tán xạ / Ít nắng
CCNPLT0146,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0146,CCNATT0008,Xi măng nhẹ
CCNPLT0146,CCNATT0009,Màu trắng
CCNPLT0147,CCNATT0000,Monstera Borsigiana
CCNPLT0147,CCNATT0001,Trầu bà Nam Mỹ
CCNPLT0147,CCNATT0002,"• Kích thước chậu: 28x42cm (DxC)
• Chiều cao tổng: 100 – 100 cm"
CCNPLT0147,CCNATT0003,Dễ chăm sóc
CCNPLT0147,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0147,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0148,CCNATT0000,Radermachera Sinica
CCNPLT0148,CCNATT0001,Cây hạnh phúc
CCNPLT0148,CCNATT0002,Chiều cao: 70 – 80cm (DxC)
CCNPLT0148,CCNATT0003,Dễ chăm sóc
CCNPLT0148,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0148,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0149,CCNATT0000,Thaumatophyllum bipinnatifidum
CCNPLT0149,CCNATT0001,Cây trầu bà thanh xuân / Cây trầu bà tay Phật
CCNPLT0149,CCNATT0002,"• Chiều cao 90 – 110cm
• Kích thước tán 90 – 100cm"
CCNPLT0149,CCNATT0003,Dễ chăm sóc
CCNPLT0149,CCNATT0004,Nắng tán xạ / Bóng râm
CCNPLT0149,CCNATT0005,"Ít tưới nước, 2 – 3 lần/tuần"
CCNPLT0150,CCNATT0000,Pachira aquatica
CCNPLT0150,CCNATT0001,Cây kim ngân
CCNPLT0150,CCNATT0002,Chiều cao 20 – 25 cm
CCNPLT0150,CCNATT0003,Dễ chăm sóc
CCNPLT0150,CCNATT0004,Ánh sáng tán xạ; Nắng trực tiếp
CCNPLT0150,CCNATT0005,Tưới ít nước 2 lần/tuần
CCNPLT0151,CCNATT0000,Zamioculcas Zamiifolia
CCNPLT0151,CCNATT0001,Cây kim tiền / Kim phát tài
CCNPLT0151,CCNATT0002,"• Kích thước chậu: 25×25 cm (DxC)
• Chiều cao tổng: 90 – 100 cm"
CCNPLT0151,CCNATT0003,Dễ chăm sóc
CCNPLT0151,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0151,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0152,CCNATT0000,Epipremnum Marble Queen
CCNPLT0152,CCNATT0001,Trầu bà lá sữa
CCNPLT0152,CCNATT0002,"• Chiều cao 10 – 20 cm
• Đường kính tán: 25 – 30 cm"
CCNPLT0152,CCNATT0003,Rất dễ chăm sóc
CCNPLT0152,CCNATT0004,Ánh nắng tán xạ
CCNPLT0152,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0153,CCNATT0001,Cây hạnh phúc / vạn lộc / ngọc ngân / thường xuân
CCNPLT0153,CCNATT0002,"• Kích thước chậu: 32×52 cm (DxC)
• Chiều cao tổng: 100 – 110 cm"
CCNPLT0153,CCNATT0003,Dễ chăm sóc
CCNPLT0153,CCNATT0004,Nắng tán xạ / Ít nắng
CCNPLT0153,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0153,CCNATT0008,Xi măng nhẹ
CCNPLT0153,CCNATT0009,Màu trắng / Xanh dương / Vàng 24k
CCNPLT0154,CCNATT0000,Livistona chinensis
CCNPLT0154,CCNATT0001,Cọ lá xẻ
CCNPLT0154,CCNATT0002,"• Kích thước chậu: 14x14cm (DxC)
• Chiều cao chậu + cây: 25cm"
CCNPLT0154,CCNATT0003,Dễ chăm sóc
CCNPLT0154,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0154,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0155,CCNATT0000,Monstera Borsiagana
CCNPLT0155,CCNATT0001,Trầu bà Nam Mỹ
CCNPLT0155,CCNATT0002,"• Kích thước lá: 15 – 30cm
• Chiều cao: 50 – 60cm"
CCNPLT0155,CCNATT0003,Dễ chăm sóc
CCNPLT0155,CCNATT0004,Ánh sáng tán xạ; Tránh ánh nắng trực tiếp
CCNPLT0155,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0156,CCNATT0000,Aglaonema ‘Ivy Green’
CCNPLT0156,CCNATT0001,Cây tiểu bạch mã hoàng tử
CCNPLT0156,CCNATT0002,"• Kích thước tán: 20 – 25cm
• Chiều cao: 30 – 35 cm"
CCNPLT0156,CCNATT0003,Dễ chăm sóc
CCNPLT0156,CCNATT0004,Nắng tán xạ / Nơi râm mát
CCNPLT0156,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0157,CCNATT0000,Aglaonema ‘White Lance’
CCNPLT0157,CCNATT0001,Cây giữ tiền
CCNPLT0157,CCNATT0002,Chiều cao: 30 – 40 cm
CCNPLT0157,CCNATT0003,Rất dễ chăm sóc
CCNPLT0157,CCNATT0004,Nắng tán xạ / Bóng râm
CCNPLT0157,CCNATT0005,Tưới nước 3 – 4 lần/tuần
CCNPLT0158,CCNATT0001,Cây đại phú gia / Vạn lộc / Ngọc ngân / May mắn
CCNPLT0158,CCNATT0002,"• Kích thước chậu: 32×52 cm (DxC)
• Chiều cao tổng: 100 – 110 cm"
CCNPLT0158,CCNATT0003,Dễ chăm sóc
CCNPLT0158,CCNATT0004,Nắng tán xạ / Ít nắng
CCNPLT0158,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0158,CCNATT0008,Xi măng nhẹ
CCNPLT0158,CCNATT0009,Màu đen
CCNPLT0159,CCNATT0000,Monstera Borsigiana
CCNPLT0159,CCNATT0001,Trầu bà Nam Mỹ
CCNPLT0159,CCNATT0002,"• Kích thước chậu: 25x25cm (DxC)
• Chiều cao tổng: 60 – 70 cm"
CCNPLT0159,CCNATT0003,Dễ chăm sóc
CCNPLT0159,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0159,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0160,CCNATT0000,Radermachera Sinica
CCNPLT0160,CCNATT0001,Cây hạnh phúc
CCNPLT0160,CCNATT0002,Kích thước cây: 70 – 80 (cm)
CCNPLT0160,CCNATT0003,Dễ chăm sóc
CCNPLT0160,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0160,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0161,CCNATT0001,Cây lưỡi hổ / Vạn lộc / Ngọc ngân / Phú quý
CCNPLT0161,CCNATT0002,"• Kích thước chậu: 32×52 cm (DxC)
• Chiều cao tổng: 100 – 120 cm"
CCNPLT0161,CCNATT0003,Dễ chăm sóc
CCNPLT0161,CCNATT0004,Nắng tán xạ / Ít nắng
CCNPLT0161,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0161,CCNATT0008,Xi măng nhẹ
CCNPLT0161,CCNATT0009,Màu vàng / Xanh dương / Trắng
CCNPLT0162,CCNATT0001,Cây đại phú gia / Đô la / May mắn
CCNPLT0162,CCNATT0002,"• Kích thước chậu: 32×52 cm (DxC)
• Chiều cao tổng: 100 – 120 cm"
CCNPLT0162,CCNATT0003,Dễ chăm sóc
CCNPLT0162,CCNATT0004,Nắng tán xạ / Ít nắng
CCNPLT0162,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0162,CCNATT0008,Xi măng đá mài
CCNPLT0162,CCNATT0009,Màu đen
CCNPLT0163,CCNATT0000,Ficus elastica
CCNPLT0163,CCNATT0001,Đa búp đỏ
CCNPLT0163,CCNATT0002,Chiều cao: 80 – 100 cm
CCNPLT0163,CCNATT0003,Dễ chăm sóc
CCNPLT0163,CCNATT0004,Nắng tán xạ / Râm mát
CCNPLT0163,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0164,CCNATT0000,Heliconia Psittacorum Variegated ‘Lady Di’
CCNPLT0164,CCNATT0001,Cây chuối mỏ két đỏ / Thiên điểu cẩm thạch
CCNPLT0164,CCNATT0002,Chiều cao: 50 – 70 cm
CCNPLT0164,CCNATT0003,Dễ chăm sóc
CCNPLT0164,CCNATT0004,Nắng tán xạ / Râm mát
CCNPLT0164,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0165,CCNATT0000,Ficus lyrata
CCNPLT0165,CCNATT0001,Cây bàng Singapore
CCNPLT0165,CCNATT0002,"• Kích thước chậu: 20×20 cm (DxC)
• Chiều cao tổng: 40 – 50 cm"
CCNPLT0165,CCNATT0003,Dễ chăm sóc
CCNPLT0165,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0165,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0166,CCNATT0000,Radermachera Sinica
CCNPLT0166,CCNATT0001,Cây hạnh phúc
CCNPLT0166,CCNATT0002,"• Kích thước chậu: 12x12cm (DxC)
• Chiều cao tổng: 30 – 35 cm"
CCNPLT0166,CCNATT0003,Dễ chăm sóc
CCNPLT0166,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0166,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0167,CCNATT0000,Anthurium andreanum
CCNPLT0167,CCNATT0001,Cây hồng môn
CCNPLT0167,CCNATT0002,Chiều cao 30 – 40 cm
CCNPLT0167,CCNATT0003,Dễ chăm sóc
CCNPLT0167,CCNATT0004,Nắng tán xạ / Chịu râm mát
CCNPLT0167,CCNATT0005,Tưới nước 2 – 3 lần/lần
CCNPLT0168,CCNATT0000,Sansevieria zeylanica
CCNPLT0168,CCNATT0001,Lưỡi hổ xanh
CCNPLT0168,CCNATT0002,"• Kích thước chậu: 30×30 cm
• Chiều cao tổng: 80 – 90 cm"
CCNPLT0168,CCNATT0003,Rất dễ chăm sóc
CCNPLT0168,CCNATT0004,"Nắng tán xạ, chịu được thiếu nắng"
CCNPLT0168,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0169,CCNATT0000,Bucida buceras Variegated
CCNPLT0169,CCNATT0001,Bàng Đài Loan cẩm thạch
CCNPLT0169,CCNATT0002,"• Kích thước chậu: 30x32cm (DxC)
• Chiều cao tổng: 80 – 100 cm"
CCNPLT0169,CCNATT0003,Dễ chăm sóc
CCNPLT0169,CCNATT0004,Nắng tán xạ / Nắng trực tiếp
CCNPLT0169,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0170,CCNATT0000,Phoenix roebelenii
CCNPLT0170,CCNATT0001,Cây cau nga mi / Chà là cảnh
CCNPLT0170,CCNATT0002,"• Kích thước cây: 150 – 160 cm
• Kích thước chậu: 40×40 cm (DxC)
• Chiều cao tổng: 180 ~ 190 cm"
CCNPLT0170,CCNATT0003,Dễ chăm sóc
CCNPLT0170,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0170,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0171,CCNATT0000,Chrysalidocarpus lutescens Wendl
CCNPLT0171,CCNATT0001,Cau vàng Nhật Bản
CCNPLT0171,CCNATT0002,Chiều cao ~160 cm
CCNPLT0171,CCNATT0003,Dễ chăm sóc
CCNPLT0171,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0171,CCNATT0005,"Ít nước, 2 – 3 lần/tuần"
CCNPLT0172,CCNATT0000,Radermachera Sinica
CCNPLT0172,CCNATT0001,Cây hạnh phúc
CCNPLT0172,CCNATT0002,"Kích thước chậu: 35x45cm (DxC)
Chiều cao tổng: 110 – 120 cm"
CCNPLT0172,CCNATT0003,Dễ chăm sóc
CCNPLT0172,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0172,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0173,CCNATT0000,Zamioculcas Zamiifolia
CCNPLT0173,CCNATT0001,Cây kim tiền / Kim phát tài
CCNPLT0173,CCNATT0002,"• Kích thước chậu: 40×40 cm (DxC)
• Chiều cao tổng: 90 ~ 100 cm"
CCNPLT0173,CCNATT0003,Dễ chăm sóc
CCNPLT0173,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0173,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0174,CCNATT0000,Epipremnum aureum
CCNPLT0174,CCNATT0001,Trầu bà xanh
CCNPLT0174,CCNATT0002,"Kích thước chậu: 30×50 cm (DxC)
Chiều cao tổng: 160 – 170 cm"
CCNPLT0174,CCNATT0003,Dễ chăm sóc
CCNPLT0174,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0174,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0175,CCNATT0000,Licuala grandis
CCNPLT0175,CCNATT0001,Cọ Nhật
CCNPLT0175,CCNATT0002,"• Kích thước chậu:
• Chiều cao chậu + cây: 130cm"
CCNPLT0175,CCNATT0003,Dễ chăm sóc
CCNPLT0175,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0175,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0176,CCNATT0000,Radermachera Sinica
CCNPLT0176,CCNATT0001,Cây hạnh phúc
CCNPLT0176,CCNATT0002,"Kích thước chậu: 35x45cm (DxC)
Chiều cao tổng: 110 – 120 cm"
CCNPLT0176,CCNATT0003,Dễ chăm sóc
CCNPLT0176,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0176,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0177,CCNATT0000,Radermachera Sinica
CCNPLT0177,CCNATT0001,Cây hạnh phúc
CCNPLT0177,CCNATT0002,"Kích thước chậu: 30x25cm (DxC)
Chiều cao tổng: 90 – 110 cm"
CCNPLT0177,CCNATT0003,Dễ chăm sóc
CCNPLT0177,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0177,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0178,CCNATT0001,Cây lưỡi hổ / vạn lộc / trầu bà
CCNPLT0178,CCNATT0002,"• Kích thước chậu: 30×50 cm (DxC)
• Chiều cao tổng: 80 – 100 cm"
CCNPLT0178,CCNATT0003,Dễ chăm sóc
CCNPLT0178,CCNATT0004,Nắng tán xạ / Ít nắng
CCNPLT0178,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0178,CCNATT0008,Gốm sứ
CCNPLT0178,CCNATT0009,Xám khói
CCNPLT0179,CCNATT0000,Ficus lyrata
CCNPLT0179,CCNATT0001,Cây bàng Singapore
CCNPLT0179,CCNATT0002,"• Kích thước chậu: 20×20 cm (DxC)
• Chiều cao tổng: 40 – 50 cm"
CCNPLT0179,CCNATT0003,Dễ chăm sóc
CCNPLT0179,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0179,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0180,CCNATT0000,Syngonium podophyllum ‘Albo Variegata’
CCNPLT0180,CCNATT0001,Tróc bạc Albo
CCNPLT0180,CCNATT0002,"• Kích thước chậu: 17×17 cm (DxC)
• Chiều cao tổng: 40 – 50 cm"
CCNPLT0180,CCNATT0003,Dễ chăm sóc
CCNPLT0180,CCNATT0004,Ánh sáng tán xạ / Râm mát
CCNPLT0180,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0181,CCNATT0000,Ficus lyrata
CCNPLT0181,CCNATT0001,Cây bàng Singapore
CCNPLT0181,CCNATT0002,"• Kích thước chậu: 25×25 cm (DxC)
• Chiều cao tổng: 80 – 90 cm"
CCNPLT0181,CCNATT0003,Dễ chăm sóc
CCNPLT0181,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0181,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0182,CCNATT0000,Syngonium podophyllum “Pink Spot”
CCNPLT0182,CCNATT0001,Tróc bạc hồng
CCNPLT0182,CCNATT0002,"• Kích thước chậu: 24×20 cm (DxC)
• Chiều cao tổng: 40 – 50 cm"
CCNPLT0182,CCNATT0003,Dễ chăm sóc
CCNPLT0182,CCNATT0004,Ánh sáng tán xạ / Râm mát
CCNPLT0182,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0183,CCNATT0000,Philodendron Warscewiczii Aurea Flavum
CCNPLT0183,CCNATT0001,Cây trầu bà thanh xuân vàng
CCNPLT0183,CCNATT0002,"• Kích thước chậu: 20×20 cm (DxC)
• Chiều cao tổng: 40 – 50 cm"
CCNPLT0183,CCNATT0003,Dễ chăm sóc
CCNPLT0183,CCNATT0004,Ánh sáng tán xạ / Râm mát
CCNPLT0183,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0184,CCNATT0000,Maranta leuconeura
CCNPLT0184,CCNATT0001,Cây cầu nguyên
CCNPLT0184,CCNATT0002,"• Kích thước chậu: 20×18 cm (DxC)
• Chiều cao: 10cm
• Đường kính tán: 25cm"
CCNPLT0184,CCNATT0003,Dễ chăm sóc
CCNPLT0184,CCNATT0004,Ánh sáng tán xạ / Râm mát
CCNPLT0184,CCNATT0005,Tưới nước 4 – 5 lần/tuần
CCNPLT0185,CCNATT0000,Scheffera Octophylla
CCNPLT0185,CCNATT0001,Ngũ gia bì
CCNPLT0185,CCNATT0002,Chiều cao 30 ~ 40 cm
CCNPLT0185,CCNATT0003,Dễ chăm sóc
CCNPLT0185,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0185,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0186,CCNATT0000,Cordyline fruticosa Mocha Latte
CCNPLT0186,CCNATT0001,Huyết huyết dụ ‘Mocha Latte’
CCNPLT0186,CCNATT0002,Chiều cao: 20 – 30 cm
CCNPLT0186,CCNATT0003,Dễ chăm sóc
CCNPLT0186,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0186,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0187,CCNATT0000,Peperomia ‘Watermelon’
CCNPLT0187,CCNATT0001,Cây dưa hấu
CCNPLT0187,CCNATT0003,Dễ chăm sóc
CCNPLT0187,CCNATT0004,Nắng tán xạ / Chịu râm mát
CCNPLT0187,CCNATT0005,Tưới nước 2 – 3 lần/tháng
CCNPLT0187,CCNATT0006,Chiều cao 20 – 30 cm
CCNPLT0188,CCNATT0000,Chlorophytum orchidastrum
CCNPLT0188,CCNATT0001,Cây phượng hoàng lửa / Lục thảo lan
CCNPLT0188,CCNATT0002,"• Kích thước chậu: 20×24
• Chiều cao tổng: 45 – 50 cm"
CCNPLT0188,CCNATT0003,Rất dễ chăm sóc
CCNPLT0188,CCNATT0004,Nắng tán xạ / Bóng râm
CCNPLT0188,CCNATT0005,Tưới nước 3 – 4 lần/tuần
CCNPLT0189,CCNATT0000,Ficus lyrata
CCNPLT0189,CCNATT0001,Cây bàng Singapore
CCNPLT0189,CCNATT0002,"• Kích thước chậu: 20×20 cm (DxC)
• Chiều cao tổng: 30 – 35 cm"
CCNPLT0189,CCNATT0003,Dễ chăm sóc
CCNPLT0189,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0189,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0190,CCNATT0000,Cordyline fruticosa ‘Waihee Rainbow’
CCNPLT0190,CCNATT0001,Huyết phất dụ 7 sắc
CCNPLT0190,CCNATT0002,"• Kích thước chậu: 17×17  cm (DxC)
• Chiều cao tổng: 50 cm"
CCNPLT0190,CCNATT0003,Dễ chăm sóc
CCNPLT0190,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0190,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0191,CCNATT0000,Licuala grandis
CCNPLT0191,CCNATT0001,Cọ Nhật
CCNPLT0191,CCNATT0002,"Chiều cao cây: 90cm
Chiều cao chậu + cây: 130cm"
CCNPLT0191,CCNATT0003,Dễ chăm sóc
CCNPLT0191,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0191,CCNATT0005,Tưới nước: 2 – 3 lần/tuần
CCNPLT0192,CCNATT0000,Dracaena draco L
CCNPLT0192,CCNATT0001,Phát tài núi
CCNPLT0192,CCNATT0002,Chiều cao 150 – 160 cm
CCNPLT0192,CCNATT0003,Dễ chăm sóc
CCNPLT0192,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0192,CCNATT0005,"Tưới nước, 2 – 3 lần/tuần"
CCNPLT0193,CCNATT0000,Cordyline fruticosa ‘Waihee Rainbow’
CCNPLT0193,CCNATT0001,Huyết phất dụ 7 sắc
CCNPLT0193,CCNATT0002,Chiều cao 30 – 50 cm
CCNPLT0193,CCNATT0003,Dễ chăm sóc
CCNPLT0193,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0193,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0194,CCNATT0000,Dieffenbachia Seguine ‘Tropic Snow’
CCNPLT0194,CCNATT0001,Cây vạn niên thanh
CCNPLT0194,CCNATT0002,"• Chiều cao: 60 – 80 cm
• Kích thước tán: 60 – 80 cm"
CCNPLT0194,CCNATT0003,Rất dễ chăm sóc
CCNPLT0194,CCNATT0004,Nắng tán xạ / Bóng râm
CCNPLT0194,CCNATT0005,Tưới nước 3 – 4 lần/tuần
CCNPLT0195,CCNATT0000,Aglaonema Morodoklok
CCNPLT0195,CCNATT0001,Cây sao sáng lá đậm
CCNPLT0195,CCNATT0002,"• Kích thước chậu: 26×20 cm (DxC)
• Chiều cao: 30 – 40 cm
• Kích thước tán: 40 – 60 cm"
CCNPLT0195,CCNATT0003,Rất dễ chăm sóc
CCNPLT0195,CCNATT0004,Nắng tán xạ / Bóng râm
CCNPLT0195,CCNATT0005,Tưới nước 3 – 4 lần/tuần
CCNPLT0196,CCNATT0000,Aglaonema ‘Pink Legacy’
CCNPLT0196,CCNATT0001,Cây cung điện vàng
CCNPLT0196,CCNATT0002,"• Kích thước chậu:  18×14 cm (DxC)
• Chiều cao tổng: 35 – 40 cm"
CCNPLT0196,CCNATT0003,Dê chăm sóc
CCNPLT0196,CCNATT0004,Nắng tán xạ / Nơi râm mát
CCNPLT0196,CCNATT0005,Thay nước 2 – 3 lần/tháng
CCNPLT0197,CCNATT0000,Sansevieria futura Superba
CCNPLT0197,CCNATT0001,Cây lưỡi hổ thái
CCNPLT0197,CCNATT0002,"• Kích thước chậu
• Chiều cao tổng: 30 – 40 cm"
CCNPLT0197,CCNATT0003,Dễ chăm sóc
CCNPLT0197,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0197,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0198,CCNATT0000,Zamioculcas Zamiifolia
CCNPLT0198,CCNATT0001,Cây kim tiền / Kim phát tài
CCNPLT0198,CCNATT0002,Chiều cao tổng: 20~30 cm
CCNPLT0198,CCNATT0003,Dễ chăm sóc
CCNPLT0198,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0198,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0199,CCNATT0000,Aglaonema ‘Pink Lady’
CCNPLT0199,CCNATT0001,Cây hồng phát lộc
CCNPLT0199,CCNATT0002,"• Kích thước chậu: 15×14 cm (DxC)
• Chiều cao tổng: 35 – 40cm"
CCNPLT0199,CCNATT0003,Dễ chăm sóc
