POTID,CHẤT LIỆU,KIỂU DÁNG,GIA CỐ,QUY CÁCH SẢN PHẨM (RXC),TRỌNG LƯỢNG,MÀU SẮC,HOA VĂN,HỌA TIẾT,KÍCH THƯỚC,KÍCH THƯỚC 1 GL,KÍCH THƯỚC 3 GL,KÍCH THƯỚC 5 GL,KÍCH THƯỚC 7 GL,KÍCH THƯỚC 2 GL,KÍCH THƯỚC 4 GL,KÍCH THƯỚC 6 GL,KÍCH THƯỚC MIỆNG CHẬU,KÍCH THƯỚC ĐÁY CHẬU,CHIỀU CAO CHẬU,CHIỀU DÀI DÂY CHẬU,CÂN NẶNG,QUY CÁCH SẢN PHẨM,DUNG TÍCH
CCNPOT0010,Đất nung sơn,,,,,Xám xanh,,Hoa trang trí,30x30x20 / 20x20x15 / 18x18x12 cm,,,,,,,,,,,,,,
CCNPOT0011,Gốm sứ,,,,,Màu trắng,,Ô vuông nổi,20x18cm / 25×21 / 31×25 (DxC),,,,,,,,,,,,,,
CCNPOT0012,Gốm sứ,,,,,Màu trắng,,Ô vuông nổi,20x18cm / 25×21 / 31×25 (DxC),,,,,,,,,,,,,,
CCNPOT0013,Gốm sứ,,,,,Màu đen,,"Đan mây, gân chìm","13,5x13cm / 20×20 / 25×25 (DxC)",,,,,,,,,,,,,,
CCNPOT0014,Gốm sứ,,,,,Màu đen,,"Thổ cẩm, gân chìm","13,5x13cm / 20×20 / 25×25 (DxC)",,,,,,,,,,,,,,
CCNPOT0015,Xi măng,Trụ tròn vát đáy,Tấm lưới thủy tinh / Kháng nước 2 mặt,"38,5×33 / 30×27 (cm)","4,5 / 3 (kg)",Wax đen,Dây quấn rối,,,,,,,,,,,,,,,,
CCNPOT0016,"Xi măng, đá cẩm thạch",,Tấm lưới thủy tinh,30×30 (cm),,"Đen, Xám",,,,,,,,,,,,,,,,,
CCNPOT0017,"Xi măng, đá cẩm thạch",,Tấm lưới thủy tinh,"• 20×20 (cm)
• 25×25 (cm)
• 30×30 (cm)
• 40×40 (cm)
• 50×50 (cm)",,"• Trắng
• Đen
• Xám",,,,,,,,,,,,,,,,,
CCNPOT0018,"Xi măng, đá mài",,Tấm lưới thủy tinh,32x52cm (DxC),,Xám,,Thổ cẩm,,,,,,,,,,,,,,,
CCNPOT0019,"Xi măng, đá mài",,Tấm lưới thủy tinh,32x52cm (DxC),,Xanh dương / Vàng / Trắng,,Kẻ ngang,,,,,,,,,,,,,,,
CCNPOT0020,"Xi măng, đá mài",,Tấm lưới thủy tinh,32x52cm (DxC),,Xám / Đen / Trắng,,Đá mài,,,,,,,,,,,,,,,
CCNPOT0021,"Xi măng, đá mài",,Tấm lưới thủy tinh,40×40 (cm),,"Màu trắng, xanh, vàng",,Kẻ ngang,,,,,,,,,,,,,,,
CCNPOT0022,"Xi măng, đá mài",,Tấm lưới thủy tinh,29×39 (cm),,Màu xám,,Đá mài,,,,,,,,,,,,,,,
CCNPOT0023,"Xi măng, đá mài",,Tấm lưới thủy tinh,29×39 (cm),,Màu xám,,Đá mài,,,,,,,,,,,,,,,
CCNPOT0024,"Xi măng, đá mài",,Tấm lưới thủy tinh,40×40 (cm),,Màu xám,,"Zig zac, đá mài",,,,,,,,,,,,,,,
CCNPOT0025,Gốm sứ,,,,,"Đỏ, vàng",,Gân nổi,12x12cm (DxC),,,,,,,,,,,,,,
CCNPOT0026,Gốm sứ,,,,,"Đỏ, vàng",,In chữ ‘tài lộc’,12x12cm (DxC),,,,,,,,,,,,,,
CCNPOT0027,"Xi măng, đá mài",,Tấm lưới thủy tinh,40×40 (cm),,"• Trắng (+50k)
• Đen (+50k)
• Xám",,,,,,,,,,,,,,,,,
CCNPOT0028,"Xi măng, đá mài",,Tấm lưới thủy tinh,40×40 (cm),,"• Trắng (+30k)
• Đen
• Xám",,,,,,,,,,,,,,,,,
CCNPOT0029,"Xi măng, đá mài",,Tấm lưới thủy tinh,34×42 (cm),,"• Trắng (+50k)
• Đen (+50k)
• Xám",,,,,,,,,,,,,,,,,
CCNPOT0030,Xi măng đá mài,,Khung sắt,• 20×35 (cm),,"• Trắng
• Đen
• Xám",,,,,,,,,,,,,,,,,
CCNPOT0031,Đất nung sơn,,,,,Xanh,,Hoa cúc,32×25 / 19×16 / 16×13 cm(DxC),,,,,,,,,,,,,,
CCNPOT0032,Đất nung sơn,,,,,Màu mộc,,Sọc ngang,18×18 cm(DxC),,,,,,,,,,,,,,
CCNPOT0033,Đất nung sơn,,,,,Đen nhám,,Trơn,17×15 cm(DxC),,,,,,,,,,,,,,
CCNPOT0034,Đất nung sơn,,,,,Xanh,,Hoa cúc,18×30 / 25x34cm (DxC),,,,,,,,,,,,,,
CCNPOT0035,Đất nung sơn,,,,,Xanh,,Gân kẻ ngang,20x17cm (DxC),,,,,,,,,,,,,,
CCNPOT0036,Đất nung sơn nhám,,,,,Xám,,Gân nổi,20x20cm (DxC),,,,,,,,,,,,,,
CCNPOT0037,Đất nung sơn wax,,,,,Vàng kem,,Đa giác,15x14cm (DxC),,,,,,,,,,,,,,
CCNPOT0038,Đất nung sơn wax,,,,,Vàng kem,,Đa giác,15x14cm (DxC),,,,,,,,,,,,,,
CCNPOT0039,Gốm sứ,,,,,Xanh ngọc,,Hoa cúc,20x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0040,Đất nung sơn,,,,,Trắng / Xanh lá,,Thổ cẩm,17x17cm (DxC),,,,,,,,,,,,,,
CCNPOT0041,Đất nung sơn,,,,,Xanh dương,,Gân sọc kẻ,16x15cm (DxC),,,,,,,,,,,,,,
CCNPOT0042,Gốm sứ,,,,,Hồng,,Trơn,10x10cm (DxC),,,,,,,,,,,,,,
CCNPOT0043,Gốm sứ,,,,,Xanh dương / Xanh ngọc,,Thổ cẩm,16×14 / 20x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0044,Gốm sứ,,,,,Trắng,,Thổ cẩm,20x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0045,Gốm sứ,,,,,Trắng,,Gân dọc,20x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0046,Gốm sứ,,,,,Trắng,,Giọt nước,20x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0047,Gốm sứ,,,,,Trắng,,Tam giác,20x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0048,Gốm sứ,,,,,Nhiều màu sắc,,Tam giác,18x15cm (DxC),,,,,,,,,,,,,,
CCNPOT0049,Gốm sứ,,,,,Trắng,,Chiếc lá,20x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0050,"Gốm men rạn, men nhám",,,,,Vàng kem,,"Trơn nhám, gân sọc",16x14cm (DxC),,,,,,,,,,,,,,
CCNPOT0051,Đất nung sơn,,,,,Nhiều màu sắc,,Gân hoa trang trí,15x15cm (DxC),,,,,,,,,,,,,,
CCNPOT0052,Đất nung sơn,,,,,Trắng,,Gân sọc,"16×14,5cm (DxC)",,,,,,,,,,,,,,
CCNPOT0053,Gốm sứ,,,,,Xanh dương,,Trơn nhám,"12,5x11cm (DxC)",,,,,,,,,,,,,,
CCNPOT0054,Gốm sứ,,,,,Xanh đại dương,,‘Caro’,25x24cm (DxC),,,,,,,,,,,,,,
CCNPOT0055,Gốm sứ,,,,,Nhiều màu sắc,,‘Nhiệt đới’,20x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0056,Gốm sứ,,,,,Nhiều màu sắc,,‘Cầu vòng’,17x17cm (DxC),,,,,,,,,,,,,,
CCNPOT0057,Gốm sứ,,,,,Nâu,,‘Nàng thơ’,11x9cm (DxC),,,,,,,,,,,,,,
CCNPOT0058,Đất nung sơn,,,,,Vàng sáng / Vàng đồng,,Trơn,13x13cm (DxC),,,,,,,,,,,,,,
CCNPOT0059,Đất nung sơn,,,,,Màu mộc,,Hoa cúc,20×20 / 25×25 / 30x30cm (DxC),,,,,,,,,,,,,,
CCNPOT0060,Gốm đất nung sơn,,,,,"Xanh lá, trắng",,Kim cương,16×16 / 24×20 / 30x25cm (DxC),,,,,,,,,,,,,,
CCNPOT0061,Gốm đất nung sơn,,,,,Nâu / Trắng,,Giả đá,30x30cm (DxC),,,,,,,,,,,,,,
CCNPOT0062,Gốm đất nung sơn,,,,,Nâu / Trắng,,Giả đá,25x25cm (DxC),,,,,,,,,,,,,,
CCNPOT0063,Gốm đất nung sơn,,,,,Nâu / Trắng,,Giả đá,20x20cm (DxC),,,,,,,,,,,,,,
CCNPOT0064,Gốm đất nung sơn,,,,,Đen,,Nhám,18x16cm (DxC),,,,,,,,,,,,,,
CCNPOT0065,Gốm đất nung sơn,,,,,Trắng / Đen,,Gân sọc,17x17cm (DxC),,,,,,,,,,,,,,
CCNPOT0066,Đất nung sơn màu,,,,,Trắng / Đen,,Gân nổi,17×17 cm (DxC),,,,,,,,,,,,,,
CCNPOT0067,Đất nung sơn bóng,,,,,Trắng / Đen / Xanh lá,,Gân sọc,17x17cm (DxC),,,,,,,,,,,,,,
CCNPOT0068,Đất nung sơn màu,,,,,Trắng / Đen,,Gân tam giác,17×17 cm (DxC),,,,,,,,,,,,,,
CCNPOT0069,Đất nung sơn màu,,,,,Xanh lá / Vàng / Cam,,Hoa thổ cẩm,18×16 cm (DxC),,,,,,,,,,,,,,
CCNPOT0070,Đất nung sơn màu,,,,,Màu đen bóng,,Trơn,20×20 cm (DxC),,,,,,,,,,,,,,
CCNPOT0071,Đất nung sơn màu,,,,,Màu mộc,,Marble,20×18 cm (DxC),,,,,,,,,,,,,,
CCNPOT0072,Gốm sứ,,,,,Trắng,,Giả đá,26×20 / 18×16 / 12x10cm (DxC),,,,,,,,,,,,,,
CCNPOT0073,Đất nung sơn màu,,,,,Màu trắng,,Trơn,17×17 cm (DxC),,,,,,,,,,,,,,
CCNPOT0074,Đất nung sơn màu,,,,,Màu trắng,,Gân chéo,17×17 cm (DxC),,,,,,,,,,,,,,
CCNPOT0075,Đất nung sơn màu,,,,,Màu trắng,,Gân chéo,17×17 cm (DxC),,,,,,,,,,,,,,
CCNPOT0076,Gốm sứ,,,,,Trắng,,Giả đá,26×20 / 18×16 / 12x10cm (DxC),,,,,,,,,,,,,,
CCNPOT0077,Gốm sứ,,,,,Trắng,,Trơn,15×15 / 18×18 cm (DxC),,,,,,,,,,,,,,
CCNPOT0078,Gốm sứ,,,,,Trắng / Xanh dương,,Mặt người,15×15 cm (DxC),,,,,,,,,,,,,,
CCNPOT0079,Đất nung sơn màu,,,,,Màu mộc,,Gân sọc dọc,18×18 cm (DxC),,,,,,,,,,,,,,
CCNPOT0080,Đất nung sơn màu,,,,,Màu kem,,Gân sọc dọc,18×18 cm (DxC),,,,,,,,,,,,,,
CCNPOT0081,Đất nung sơn màu,,,,,"Màu xám, trắng",,Gân sọc ngang,"12,5×9 cm (DxC)",,,,,,,,,,,,,,
CCNPOT0082,Gốm sứ,,,,,Trắng,,Trơn,33×45 cm (DxC),,,,,,,,,,,,,,
CCNPOT0083,Gốm sứ,,,,,Trắng,,Hình cute,10×11 cm (DxC),,,,,,,,,,,,,,
CCNPOT0084,Gốm sứ,,,,,Trắng,,Hình bông hoa,12×9 cm (DxC),,,,,,,,,,,,,,
CCNPOT0085,Gốm sứ,,,,,Trắng,,Hình cô giá cute,12×9 cm (DxC),,,,,,,,,,,,,,
CCNPOT0086,Gốm sứ,,,,,Trắng,,Hình mèo chiêu tài,12×9 cm (DxC),,,,,,,,,,,,,,
CCNPOT0087,Gốm sứ,,,,,Trắng,,Câu nói tiếng anh,12×9 cm (DxC),,,,,,,,,,,,,,
CCNPOT0088,Gốm sứ,,,,,Trắng,,Câu nói ý nghĩa,12×9 cm (DxC),,,,,,,,,,,,,,
CCNPOT0089,Gốm sứ,,,,,Trắng,,Hình mèo chiêu tài,12×9 cm (DxC),,,,,,,,,,,,,,
CCNPOT0090,Gốm sứ,,,,,Trắng,,Hình thú cưng,12×9 cm (DxC),,,,,,,,,,,,,,
CCNPOT0091,Gốm sứ,,,,,Trắng,,Hình thú cưng,12×9 cm (DxC),,,,,,,,,,,,,,
CCNPOT0092,Gốm sứ,,,,,Trắng,,Hình chiếc lá,12×9 cm (DxC),,,,,,,,,,,,,,
CCNPOT0093,Gốm sứ,,,,,Trắng,,Hình mèo thần tài,14×14 cm (DxC),,,,,,,,,,,,,,
CCNPOT0094,Gốm sứ,,,,,Trắng,,Hình chiếc lá,18×16 / 14×13 / 10×10 cm (DxC),,,,,,,,,,,,,,
CCNPOT0095,Đất nung sơn,,,,,Màu mộc,,Sơn ngôi nhà,16×16 cm (DxC),,,,,,,,,,,,,,
CCNPOT0096,Đất nung sơn,,,,,Màu mộc,,Vân lá,12×11 cm (DxC),,,,,,,,,,,,,,
CCNPOT0097,Đất nung mộc,,,,,Màu mộc,,Trơn,15×15 cm (DxC),,,,,,,,,,,,,,
CCNPOT0098,Đất nung sơn,,,,,Trắng kem,,Trơn,15×13 cm (DxC),,,,,,,,,,,,,,
CCNPOT0099,Đất nung sơn,,,,,"Trắng, đen",,Gân sóng ngang,15×14 cm (DxC),,,,,,,,,,,,,,
CCNPOT0100,Gốm tráng men,,,,,Trắng,,"Sọc dọc, vân đá",18×16 / 14×13 / 10×10 cm (DxC),,,,,,,,,,,,,,
CCNPOT0101,Đất nung sơn,,,,,"Trắng, vàng đồng / Đen, vàng đồng",,Viền vàng đồng,14×13 cm (DxC),,,,,,,,,,,,,,
CCNPOT0102,Đất nung sơn,,,,,"Trắng, đen",,Sọc dọc,14×13 cm (DxC),,,,,,,,,,,,,,
CCNPOT0103,Đất nung sơn,,,,,"Trắng, đen",,"Thổ cẩm, giả đá",15×13 cm (DxC),,,,,,,,,,,,,,
CCNPOT0104,Đất nung sơn,,,,,Xám bóng,,Trơn,14×14 cm (DxC),,,,,,,,,,,,,,
CCNPOT0105,Đất nung sơn,,,,,Wax nâu,,Giả đá mài,14×15 cm (DxC),,,,,,,,,,,,,,
CCNPOT0106,Đất nung sơn,,,,,Wax xám,,Gân sóng,14×13 cm (DxC),,,,,,,,,,,,,,
CCNPOT0107,Đất nung sơn,,,,,Nâu viền vàng,,Thổ cẩm,14×13 / 19×18 cm (DxC),,,,,,,,,,,,,,
CCNPOT0108,Đất núng sơn,,,,,Xám khói,,Xám khói,14×13 cm (DxC),,,,,,,,,,,,,,
CCNPOT0109,Gốm tráng men,,,,,"Xám khói, đồng",,Vân khói,12×11 cm (DxC),,,,,,,,,,,,,,
CCNPOT0110,"Đất nung, sơn chống thấm",,,,,"Trắng, xám",,"Sọc dọc, vân đá",14×13 cm (DxC),,,,,,,,,,,,,,
CCNPOT0111,Đất nung tráng men,,,,,Đen,,Trơn,16x14cm (DxC),,,,,,,,,,,,,,
CCNPOT0112,Gốm sứ,,,,,Trắng,,Gân sọc,16x14cm (DxC),,,,,,,,,,,,,,
CCNPOT0113,Gốm sứ,,,,,Trắng,,Gân tổ ong,16x14cm (DxC),,,,,,,,,,,,,,
CCNPOT0114,Gốm sứ,,,,,Trắng,,Gân tổ ong,24x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0115,Gốm sứ,,,,,Trắng,,Gân dọc,24x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0116,Gốm sứ,,,,,Trắng,,Gân dọc,24x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0117,Gốm sứ,,,,,Trắng,,Gân cong,24x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0118,Gốm sứ,,,,,Trắng,,Gân cong,24x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0119,Gốm sứ,,,,,Trắng,,Gân dọc,24x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0120,Gốm sứ,,,,,Trắng,,Sọc ngang,32x25cm / 24x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0121,Đất nung,,,,,Xanh ngọc,,Hoa hồng,32x25cm / 24x18cm (DxC),,,,,,,,,,,,,,
CCNPOT0122,Đất nung,,,,,"Nâu đất, trắng",,Thổ cẩm,25x20cm / 18x15cm,,,,,,,,,,,,,,
CCNPOT0123,Đất nung,,,,,Nâu đất,,Sọc dọc,35x24cm,,,,,,,,,,,,,,
CCNPOT0124,Đất nung,,,,,Wax màu xám,,Kẻ xiên,25x20cm / 18x15cm,,,,,,,,,,,,,,
CCNPOT0125,Đất nung,,,,,Wax màu xám,,Kẻ xiên,25x20cm,,,,,,,,,,,,,,
CCNPOT0126,Đất nung,,,,,Nâu đất,,Kẻ xiên,25x20cm,,,,,,,,,,,,,,
CCNPOT0127,Đất nung,,,,,Nâu đất,,Sọc dọc,25x20cm,,,,,,,,,,,,,,
CCNPOT0128,Đất nung,,,,,Nâu đất,,Hoa cúc,25x20cm,,,,,,,,,,,,,,
CCNPOT0129,Đất nung,,,,,Nâu đất,,Hoa hồng,25x20cm,,,,,,,,,,,,,,
CCNPOT0130,Đất nung,,,,,Nâu trắng,,Thổ cẩm,20x18cm,,,,,,,,,,,,,,
CCNPOT0131,Đất nung,,,,,Xanh dương / Nâu đỏ / Xanh lá / Nâu đất,,Hoa cúc,18x18cm,,,,,,,,,,,,,,
CCNPOT0132,Đất nung,,,,,Xanh dương,,Thổ cẩm,18x18cm,,,,,,,,,,,,,,
CCNPOT0133,Đất nung,,,,,Nâu đất,,Trơn,18x18cm,,,,,,,,,,,,,,
CCNPOT0134,Đất nung,,,,,Nâu đất,,Đan hoa,15x14cm,,,,,,,,,,,,,,
CCNPOT0135,Đất nung,,,,,Nâu đất,,Kẻ chéo,15x15cm,,,,,,,,,,,,,,
CCNPOT0136,Đất nung,,,,,Nâu đất,,Gợn sóng,15x15cm,,,,,,,,,,,,,,
CCNPOT0137,Đất nung,,,,,Nâu đất,,Lưới,29x26cm,,,,,,,,,,,,,,
CCNPOT0138,Đất nung,,,,,Nâu đất,,Tường gạch,29x26cm,,,,,,,,,,,,,,
CCNPOT0139,Đất nung,,,,,Nâu đất,,Sọc ngang,30x30cm,,,,,,,,,,,,,,
CCNPOT0140,Đất nung,,,,,Nâu đất,,Thổ cẩm,30x30cm,,,,,,,,,,,,,,
CCNPOT0141,Đất nung,,,,,Nâu đất,,Dây quấn rối,29x26cm,,,,,,,,,,,,,,
CCNPOT0142,Đất nung,,,,,Nâu đất,,Hoa hồng,14x14cm / 22x22cm / 28x28cm,,,,,,,,,,,,,,
CCNPOT0143,Đất nung,,,,,Nâu đất,,Hoa,25x28cm,,,,,,,,,,,,,,
CCNPOT0144,Đất nung,,,,,Nâu đất,,Chấm tròn,23x20cm,,,,,,,,,,,,,,
CCNPOT0145,Đất nung,,,,,Nâu đất,,Dây quấn rối,25x19cm,,,,,,,,,,,,,,
CCNPOT0146,Đất nung,,,,,Kem đất,,Trơn,11x11cm / 15x15cm / x 20x20cm / 25x25cm,,,,,,,,,,,,,,
CCNPOT0147,Đất nung,,,,,Kem đất,,Trơn,11x11cm / 15x15cm / x 20x20cm / 25x25cm,,,,,,,,,,,,,,
CCNPOT0148,Đất nung,,,,,Nâu đất,,Da rắn,30x30cm / 21x21cm / 15x15cm,,,,,,,,,,,,,,
CCNPOT0149,Đất nung,,,,,Nâu đất,,Sọc chéo,15x13cm,,,,,,,,,,,,,,
CCNPOT0150,Đất nung,,,,,Nâu đất,,Vân lá,15x14cm,,,,,,,,,,,,,,
CCNPOT0151,Đất nung,,,,,Nâu đất,,Vân sọc nổi,15x15cm,,,,,,,,,,,,,,
CCNPOT0152,Đất nung,,,,,Trắng ngà,,Trơn,13x13cm,,,,,,,,,,,,,,
CCNPOT0153,Đất nung,,,,,Trắng ngà,,Trơn,21x27cm / 26x32cm,,,,,,,,,,,,,,
CCNPOT0154,Đất nung,,,,,Nâu đất,,Gân chéo,14x13cm,,,,,,,,,,,,,,
CCNPOT0155,Đất nung,,,,,Nâu đất,,Quấn rối,18x16cm / 25x20cm,,,,,,,,,,,,,,
CCNPOT0156,Đất nung,,,,,Nâu đậm,,Trơn,24x23cm,,,,,,,,,,,,,,
CCNPOT0157,Đất nung,,,,,Nâu đậm,,Trơn,15x15cm / 20x20cm,,,,,,,,,,,,,,
CCNPOT0158,Đất nung,,,,,Nâu đất,,Marble,14x14cm,,,,,,,,,,,,,,
CCNPOT0159,Đất nung,,,,,Nâu kem,,Marble,18x18cm,,,,,,,,,,,,,,
CCNPOT0160,Đất nung,,,,,Nâu đất,,Gân sọc,14x14cm,,,,,,,,,,,,,,
CCNPOT0161,Đất nung,,,,,Nâu đất,,Tổ ong,17x17cm,,,,,,,,,,,,,,
CCNPOT0162,Đất nung,,,,,Nâu đất,,Gợn sóng,12x11cm,,,,,,,,,,,,,,
CCNPOT0163,Đất nung,,,,,Nâu đất,,Sọc caro,12x11cm,,,,,,,,,,,,,,
CCNPOT0164,Đất nung,,,,,Nâu đất,,Sọc chéo,12x11cm,,,,,,,,,,,,,,
CCNPOT0165,Đất nung,,,,,Nâu đất,,Kim cương,12x11cm,,,,,,,,,,,,,,
CCNPOT0166,Đất nung,,,,,Nâu đất,,Kim cương,12x11cm,,,,,,,,,,,,,,
CCNPOT0167,Đất nung,,,,,Nâu đất,,Tổ ong,12x11cm,,,,,,,,,,,,,,
CCNPOT0168,Đất nung,,,,,Nâu đất,,Tổ ong,18x16cm,,,,,,,,,,,,,,
CCNPOT0169,Đất nung,,,,,Nâu đất,,Tổ ong,15x14cm,,,,,,,,,,,,,,
CCNPOT0170,Đất nung,,,,,Nâu đất,,Tổ ong,23x20cm,,,,,,,,,,,,,,
CCNPOT0171,Đất nung,,,,,Nâu đất,,Gợn sóng,23x20cm,,,,,,,,,,,,,,
CCNPOT0172,Đất nung,,,,,Nâu đất,,Sọc kẻ,25x18cm,,,,,,,,,,,,,,
CCNPOT0173,Đất nung,,,,,Nâu đất,,Đan chéo,23x24cm,,,,,,,,,,,,,,
CCNPOT0174,Đất nung,,,,,Nâu đất,,Đan chéo,14.5x13cm,,,,,,,,,,,,,,
CCNPOT0175,Đất nung,,,,,Nâu đất,,Đan chéo,14x13cm,,,,,,,,,,,,,,
CCNPOT0176,Đất nung,,,,,Nâu đất,,Đan chéo,14x13cm,,,,,,,,,,,,,,
CCNPOT0177,Đất nung,,,,,Nâu đất,,Đan chéo,23x17cm,,,,,,,,,,,,,,
CCNPOT0178,Đất nung,,,,,Nâu đất,,Chấm bi,15x15cm,,,,,,,,,,,,,,
CCNPOT0179,Đất nung,,,,,Nâu đất,,Vân kẻ,15x13cm / 11x9cm,,,,,,,,,,,,,,
CCNPOT0180,Đất nung,,,,,Nâu đất,,Sọc đứng,14.5x13cm,,,,,,,,,,,,,,
CCNPOT0181,Đất nung,,,,,Nâu đất,,Sọc chéo,16x14cm,,,,,,,,,,,,,,
CCNPOT0182,Đất nung,,,,,Nâu đất,,Sọc chéo,15x15cm,,,,,,,,,,,,,,
CCNPOT0183,Đất nung,,,,,Nâu đất,,Sọc kẻ ngang,23x24cm / 27x29cm,,,,,,,,,,,,,,
CCNPOT0184,Đất nung,,,,,Nâu đất,,Trơn,28x28cm,,,,,,,,,,,,,,
CCNPOT0185,Đất nung,,,,,Nâu đất,,Trơn,15x13cm / 11x9cm,,,,,,,,,,,,,,
CCNPOT0186,Đất nung,,,,,Nâu đất,,Giọt nước,18x16cm,,,,,,,,,,,,,,
CCNPOT0187,Đất nung,,,,,Nâu đất,,Xoắn,17x17cm,,,,,,,,,,,,,,
CCNPOT0188,Đất nung,,,,,Nâu đất,,Giọt nước,30x25cm / 23x20cm,,,,,,,,,,,,,,
CCNPOT0189,Đất nung,,,,,Nâu đất,,Giọt nước,18x19cm,,,,,,,,,,,,,,
CCNPOT0190,Đất nung,,,,,Nâu đất,,Da rắn,25x18cm,,,,,,,,,,,,,,
CCNPOT0191,Đất nung,,,,,Nâu đất,,Trơn,17×15 / 17×17 / 19×20 / 25×25 / 20×27 / 25×32,,,,,,,,,,,,,,
CCNPOT0192,Đất nung,,,,,Nâu đất,,Tường gạch,25cm (ngang) – 25cm (cao),,,,,,,,,,,,,,
CCNPOT0193,Đất nung,,,,,Nâu Đất / Xanh lá / Xanh lam / Xám / Hồng Trắng,,Tường gạch,17cm (ngang) – 16cm (cao),,,,,,,,,,,,,,
CCNPOT0194,Đất nung,,,,,Đen / Xám,,Kẻ sọc,"14,5cm (ngang) – 13.5cm (cao)",,,,,,,,,,,,,,
CCNPOT0195,Đất nung,,,,,Đen / Trắng / Xám / Hồng / Xanh Dương,,Chấm tròn,"15cm (ngang) – 13.5cm (cao)
12,5cm (ngang) – 11cm (cao)
8cm (ngang) – 7cm (cao)",,,,,,,,,,,,,,
CCNPOT0196,Đất nung,,,,,Đỏ gạch / Vàng / Hồng đào / Tím Pastel,,Vỏ sò,18cm (ngang) – 16cm (cao),,,,,,,,,,,,,,
CCNPOT0197,Nhựa dẻo cao cấp,,,,,Xanh đen,,,,"• Kích thước: 15.9 x 12.8 x 2.5 (cm)
• Trọng lượng: 27 (g)","• Kích thước: 23.6 x 19.5 x 3.5 (cm)
• Trọng lượng: 83 (g)","• Kích thước: 23.6 x 22 x 3.9 (cm)
• Trọng lượng: 112 (g)","• Kích thước: 36cm x 30.5cm x 4cm
• Trọng lượng: 196g",,,,,,,,,,
