POTID,CODE,URL,TIÊU ĐỀ,GIÁ,MÔ TẢ,CHẤT LIỆU,KIỂU DÁNG,GIA CỐ,QUY CÁCH SẢN PHẨM (RXC),TRỌNG LƯỢNG,MÀU SẮC,HOA VĂN,HỌA TIẾT,KÍCH THƯỚC,KÍCH THƯỚC 1 GL,KÍCH THƯỚC 3 GL,KÍCH THƯỚC 5 GL,KÍCH THƯỚC 7 GL,KÍCH THƯỚC 2 GL,KÍCH THƯỚC 4 GL,KÍCH THƯỚC 6 GL,KÍCH THƯỚC MIỆNG CHẬU,KÍCH THƯỚC ĐÁY CHẬU,CHIỀU CAO CHẬU,CHIỀU DÀI DÂY CHẬU,CÂN NẶNG,QUY CÁCH SẢN PHẨM,DUNG TÍCH
CCNPOT0163,DANU034,https://mowgarden.com/chau-dat-nung-vat-trung-van-soc-caro-danu034/,Chậu đất nung vát trứng vân sọc caro DANU034,55000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Sọc caro,12x11cm,,,,,,,,,,,,,,
CCNPOT0164,DANU033,https://mowgarden.com/chau-dat-nung-vat-trung-van-soc-cheo-danu033/,Chậu đất nung vát trứng vân sọc chéo DANU033,55000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Sọc chéo,12x11cm,,,,,,,,,,,,,,
CCNPOT0165,DANU032,https://mowgarden.com/chau-dat-nung-vat-trung-van-kim-cuong-danu032/,Chậu đất nung vát trứng vân kim cương DANU032,55000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Kim cương,12x11cm,,,,,,,,,,,,,,
CCNPOT0166,DANU031,https://mowgarden.com/chau-dat-nung-vat-trung-van-kim-cuong-danu031/,Chậu đất nung vát trứng vân tam giác DANU031,55000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Kim cương,12x11cm,,,,,,,,,,,,,,
CCNPOT0167,DANU030,https://mowgarden.com/chau-dat-nung-vat-trung-van-bac-xiu-danu030/,Chậu đất nung vát trứng vân bạc xỉu DANU030,45000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Tổ ong,12x11cm,,,,,,,,,,,,,,
CCNPOT0168,DANU029,https://mowgarden.com/chau-dat-nung-vat-trung-van-song-danu029/,Chậu đất nung vát trứng vân sóng DANU029,65000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Tổ ong,18x16cm,,,,,,,,,,,,,,
CCNPOT0169,DANU028,https://mowgarden.com/chau-dat-nung-trung-vat-van-gon-song-danu028/,Chậu đất nung trứng vát vân gợn sóng DANU028,65000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Tổ ong,15x14cm,,,,,,,,,,,,,,
CCNPOT0170,DANU027,https://mowgarden.com/chau-dat-nung-bau-tron-thap-van-to-ong-danu027/,Chậu đất nung bầu tròn thấp vân tổ ong DANU027,125000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Tổ ong,23x20cm,,,,,,,,,,,,,,
CCNPOT0171,DANU026,https://mowgarden.com/chau-dat-nung-hinh-tru-van-gon-song-danu026/,Chậu đất nung hình trụ vân gợn sóng DANU026,65000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Gợn sóng,23x20cm,,,,,,,,,,,,,,
CCNPOT0172,DANU025,https://mowgarden.com/chau-dat-nung-trung-vat-van-soc-ke-danu025/,Chậu đất nung trứng vát vân sọc kẻ DANU025,85000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Sọc kẻ,25x18cm,,,,,,,,,,,,,,
CCNPOT0173,DANU024,https://mowgarden.com/chau-dat-nung-tru-tron-thap-danu024/,Chậu đất nung trụ tròn thấp DANU024,105000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Đan chéo,23x24cm,,,,,,,,,,,,,,
CCNPOT0174,DANU022-1,https://mowgarden.com/chau-dat-nung-tru-tron-thap-danu023/,Chậu đất nung trụ tròn thấp DANU023,50000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Đan chéo,14.5x13cm,,,,,,,,,,,,,,
